Country	Mountain	Latitude	Longitude	Elevation
India	Kamandurg Mountain	19.36634	72.950136	899 m
India	Kurhadia Mountain	19.3000776	72.9162364	444 m
India	Shendur Mountain	19.249675	72.933671	848 m
India	Kanheri Mountain	19.217092	72.916911	1327 m
India	Kharavali Mountain	18.897796	72.920626	495 m
India	Karanja Mountain	18.858864	72.934763	728 m
India	Kankeshwar Mountain	18.750276	72.918706	1101 m
India	Parhur Mountain	18.681867	72.900115	258 m
India	Sagargarh Mountain	18.649139	72.967834	537 m
India	Chaul Knob Mountain	18.516617	72.9335	116 m
India	Titvi Mountain	18.366386	73.01656	1024 m
India	Madgarh Mountain	18.149144	73.025712	722 m
India	Kante Mountain	17.959049	73.088427	1048 m
India	Choolgiri Mountain	22.029338	74.835446	250 m
India	Salher Mountain	20.913664	73.949144	2143 m
India	Satmala Hill Mountain	20.228758	74.335869	2096 m
India	Yarul Mountain	19.975677	75.151976	2519 m
India	Satpura Mountain	21.401702	76.104725	1350 m
India	Dhar Mountain	21.469782	77.549147	552 m
India	Ajanta Mountain	20.496727	75.999315	2202 m
India	Mahur Mountain	19.836067	77.941355	1892 m
India	Mahuli Mountain	19.465247	73.249936	2017 m
India	Kalasubai Mountain	19.596773	73.706251	1643 m
India	Hanchadragarh Mountain	19.399134	73.768153	4175 m
India	Malangarh Mountain	19.106811	73.17732	1462 m
India	Matheran	18.985921	73.265819	800 m
India	Karnala Mountain	18.895545	73.126493	1015 m
India	Shingi Mountain	18.944433	73.67869	2555 m
India	Wafgaon Mountain	18.910838	74.018382	2575 m
India	Mathuri Mountain	19.163467	75.465709	1780 m
India	Kamalgarh Mountain	17.96363	73.744256	4066 m
India	Gimona Mountain	17.798156	73.14238	811 m
India	Mahadeo Mountain	17.831782	74.249704	3004 m
India	Varval Mountain	18.534857	76.786898	2158 m
India	Shivlingapa Mountain	18.732803	77.602442	1303 m
India	Rati Gutta Mountain	18.511593	78.465807	554 m
India	Dharur Mountain	18.051456	76.132699	2235 m
India	Munganal Mountain	18.21448	77.384537	2022 m
India	Puchal Mountain	17.700032	78.299486	573 m
India	Pirmulo Mountain	17.882868	78.597743	1995 m
India	Kandenmarai Mountain	17.532538	77.701136	2215 m
India	Pochamagat Mountain	16.905066	77.928161	586 m
India	Kishora Gutta Mountain	17.524211	78.689628	2026 m
India	Enkiloni Mountain	17.495837	78.679918	1945 m
India	Majala Mountain	16.789654	74.453175	2319 m
India	Sonsagar Mountain	15.526461	74.283898	889 m
India	Srimant Gudda Mountain	15.132426	75.599967	612 m
India	Impagat Mountain	16.71609	77.666349	1899 m
India	Seshachalam Mountain	14.333012	78.248671	372 m
India	Kodachadri Mountain	13.854998	74.869381	1343 m
India	Mertigudda Mountain	13.282797	75.366335	1196 m
India	Kudremukh Mountain	13.124515	75.260399	1818 m
India	Pushpagiri Mountain	12.666524	75.68358	1533 m
India	Koorg Mountain	12.59805	75.684492	2170 m
India	Purakkad Mountain	11.487997	75.656268	211 m
India	Pandot Kunnu Mountain	11.39996	75.716608	76 m
India	Palkunnu Mountain	11.402395	75.809375	398 m
India	Hanne Gudda Mountain	13.750011	75.953197	3171 m
India	Innaglur Mountain	14.039489	78.077678	3128 m
India	Chembra Mountain	11.536123	76.084345	5824 m
India	Aruvacode Mountain	11.264524	76.22769	222 m
India	Mukurti Mountain	11.365959	76.517718	2379 m
India	Doda Betta	11.403546	76.736013	2623 m
India	Melagiri Mountain	12.411547	77.747744	2540 m
India	Krishna Devarayar Mountain	12.538186	78.212769	2316 m
